input1,input2,class
28.31430734,40.45305922,none
28.45962052,40.20199,none
27.61159177,40.85156056,none
31.58955524,50.59644256,none
29.12473176,46.47526224,none
27.93385043,41.30254229,none
38.49285648,335.050817,index
52.90652134,263.6644648,none
29.25918659,42.35504692,none
26.41022529,41.05666816,none
28.57008925,49.37155051,none
34.34239363,205.5372229,none
46.13350193,426.7882965,index
29.11099449,43.61651064,none
26.71703576,41.75943007,none
29.27285432,52.87958018,none
39.18800837,349.7763571,index
40.16341619,289.9318023,none
27.62064445,43.42695016,none
26.31539473,42.32847741,none
32.03981898,61.32740008,none
43.10452412,412.7088562,index
42.44172475,56.48097025,none
26.70580461,42.27706234,none
26.3666456,45.15141194,none
43.28683403,355.5782614,index
43.60791213,148.5666517,none
28.80277764,42.41697773,none
26.1074702,41.20800893,none
25.8069758,40.45305922,none
38.66005691,408.9096477,index
46.33788946,306.193158,none
27.18731322,42.6901628,none
23.3173755,40.45305922,none
25.04196478,55.43013621,none
40.95973633,390.5720804,index
47.39250996,65.92799102,none
26.18110005,41.4602219,none
25.05094809,41.60648988,none
31.1568612,100.3698162,none
50.83601086,381.6012317,index
35.11481169,53.68333075,none
26.11321505,45.01166515,none
26.15817272,42.00714225,none
38.34905475,265.5813435,index
47.15983461,221.6770173,none
28.91452922,43.01046384,none
26.30399209,41.46745712,none
26.00576859,41.30617387,none
28.57796354,73.19494518,none
52.47761428,393.7722692,index
44.67046004,47.19798725,none
26.96015579,43.08770126,none
26.85423616,40.80441153,none
26.30399209,40.86624524,none
37.58191054,184.2325975,none
47.52788655,279.5206611,index
28.38309356,41.51626187,none
25.85826754,40.60295556,none
26.50471656,40.30260537,none
29.92239964,65.28208024,none
46.4042024,407.7829692,index
33.43725467,49.77147778,none
26.91282222,41.15883866,none
26.00576859,40.55305167,none
28.4385302,55.21910901,none
40.49382669,482.5725852,index
39.37638886,95.60674662,none
27.21212965,41.77379561,none
26.30969403,40.45305922,none
26.45467823,41.17705672,none
39.61565347,94.52909605,none
50.8920426,426.6234874,index
32.15431542,44.99055456,none
26.32299375,40.25232913,none
25.8069758,40.45305922,none
26.70393229,40.6066497,none
30.15543069,62.71443215,none
49.68098228,418.0647677,index
30.5155698,47.0908696,none
26.20877716,40.15158776,none
26.15817272,40.45305922,none
25.56071204,40.5030863,none
35.17953951,87.1203191,none
57.43735718,464.4027885,index
30.04663043,43.93176527,none
26.10938529,41,none
25.45486201,40.30260537,none
27.19558788,55.15659525,none
37.85762803,304.3200618,index
46.44297579,245.7482452,none
30.29603935,41.57222631,none
26.35431653,40.55305167,none
26.15817272,40.30260537,none
28.25331839,73.86474125,none
38.68656097,331.0438037,index
39.78567581,303.0890133,none
28.62778371,42.07790394,none
25.95091521,40.70257977,none
26.05475005,40.30260537,none
27.8980286,42.86898646,none
38.26878624,259.1702143,none
43.8178046,479.6676454,index
29.29419738,44.02215351,none
25.90366769,40.70257977,none
26.30399209,40.45305922,none
26.23833074,51.52572173,none
41.31525142,341.4242961,index
43.24349662,237.8095877,none
27.49727259,41.0712795,none
25.27350391,40.15158776,none
25.95476835,40.40297019,none
28.7036583,79.36938957,none
42.47352116,374.232548,index
47.75824536,276.3700418,none
29.52287249,41.38780013,none
25.85826754,40.30260537,none
25.71575393,40.30260537,none
26.57160138,45.12205669,none
30.21754457,66.8827332,none
45.47031999,350.4967903,index
33.85262176,48.1710494,none
26.05091169,40.55305167,none
25.71575393,40.55305167,none
28.48420615,50.20956084,none
40.56846066,355.8773665,index
41.48795006,75.60555535,none
27.40711586,40.90598978,none
26.30399209,40.55305167,none
26.46034769,40.25232913,none
33.3923644,53.7010242,none
40.53948692,433.1495123,index
35.83085263,88.46016052,none
27.11825953,40.75352745,none
25.05094809,40.55305167,none
25.2537126,40.85156056,none
30.71318935,55.67629657,none
50.72080441,418.8000119,index
39.52847075,63.1961233,none
26.61672407,40.60418698,none
25.25569243,40.55305167,none
30.60555505,52.82754963,none
43.72642222,361.6333779,index
43.6766528,131.3575274,none
27.36877783,41.82941549,none
26.45467823,40.5030863,none
25.50490149,40.55305167,none
35.46618107,258.1142189,none
51.6952609,441.7408743,index
31.27139268,43.16769626,none
25.70408528,40.55305167,none
25.75364052,40.5030863,none
26.26118809,40.15158776,none
43.00872005,322.1527588,index
42.15625695,238.4253552,none
27.8980286,41.46383967,none
26.75350444,40.40297019,none
26.70954885,40.95424276,none
40.52838511,243.8364206,none
46.76964828,266.7389173,index
30.7237693,42.43229902,none
26.66552081,40.85156056,none
26.00576859,40.45305922,none
26.02306669,40.56537933,none
40.30260537,263.5658362,index
51.17128101,240.3515134,none
33.08851765,41.77379561,none
26.8523742,40.70257977,none
26.40454506,40.70257977,none
32.96968304,56.55926096,none
46.77873448,402.1443771,index
36.5499658,62.93170902,none
27.06011826,40.35281898,none
26.6045109,40.45305922,none
26.01730194,41.12298627,none
31.84964678,79.4990566,none
42.61807128,504.0989486,index
35.67702342,50.37807063,none
26.46601594,40.55305167,none
25.9566947,40.40297019,none
25.60468707,43.05751967,none
30.10896876,64.55656434,none
53.84886257,500.0209996,index
40.98597321,109.3139973,none
26.70954885,41.60648988,none
26.37138601,40.25232913,none
30.22085373,45.23217881,none
46.48010327,405.1311516,index
62.1602767,220.1585792,none
31.27059321,42.40106131,none
