input1,input2,class
30.01999334,40.30260537,none
32.73530205,40.30260537,none
29.40408135,40.60295556,none
35.9123934,88.29524336,thumb
38.44346498,73.14882091,none
33.28438072,66.19478831,none
32.80548735,47.44154298,none
33.40359262,40.40297019,none
34.38677071,51.19179622,none
43.76128426,163.4342375,thumb
33.4850713,52.64123859,none
30.43846251,44.61389918,none
30.96530316,40.55305167,none
30.00499958,40.15158776,none
30.74735761,104.3419858,none
35.706442,139.7850135,thumb
32.37977764,54.61272745,none
30.00999833,41.73607552,none
29.75483154,40.15158776,none
33.26184,40.50555517,none
37.54930093,163.031592,thumb
35.22641055,63.55194726,none
34.50144924,44.69675603,none
33.45369935,40.60295556,none
33.71349878,40.45305922,none
34.64678917,111.9169335,none
38.29294974,139.2102726,thumb
32.43300788,42.39752351,none
29.36239091,40.70257977,none
30.36198281,40.40297019,none
27.41167634,40.25232913,none
37.089756,118.1767744,thumb
37.00405383,111.5237643,none
32.35119781,42.8433192,none
30.60882226,40.60295556,none
29.60912022,40.45305922,none
29.10841803,40.45305922,none
38.01578619,160.8625189,thumb
35.51267379,109.5066208,none
31.60854315,42.92493448,none
30.10647771,40.30260537,none
30.00499958,40.30260537,none
29.50423698,40.30260537,none
29.3035834,40.40297019,none
37.9229482,92.04292477,none
40.91943304,124.3969453,thumb
32.21490338,49.39483779,none
30.16703499,40.40297019,none
29.65383618,40.25232913,none
29.75819215,40.40297019,thumb
29.70353514,40.20199,none
29.80771712,40.45305922,none
30.21588986,47.943717,none
39.91804103,166.6721332,thumb
33.9131243,81.64618791,none
29.67237773,41.68392976,none
29.05942188,40.050593,none
29.90819286,40.25232913,none
29.70353514,40.70257977,none
29.55418752,40.80563687,none
47.53525008,132.5571575,thumb
37.22297678,109.3649853,none
30.66675725,43.13351365,none
29.3035834,40.40297019,none
29.31381927,40.30260537,none
29.3035834,40.15158776,none
28.65920446,40.15158776,none
29.20616373,40.56784441,none
38.13594105,152.9228564,thumb
34.13575838,66.29328774,none
29.85715995,41.37330057,none
29.15218688,40.15158776,none
29.31381927,40,none
29.90652103,40.30260537,none
33.15569333,85.64957676,none
41.43307857,169.209781,thumb
30.57368149,53.6404698,none
29.45420174,43.35377723,none
29.36409372,40.30260537,none
29.8521356,40,none
28.9542743,41.38236339,none
37.87677389,183.4509471,thumb
36.5718471,126.3226029,none
29.45420174,42.88414625,none
29.60912022,40.50555517,none
29.46438528,40.25232913,none
29.41428225,40.5030863,thumb
29.55418752,40.15158776,none
32.80167679,98.41392178,none
36.9553785,163.5530495,thumb
30.61045573,45.13092066,none
30.25805678,40.75230055,none
29.90652103,40.15158776,none
29.35387538,40.15158776,none
29.55418752,40,none
31.13759785,105.3890412,none
40.00312488,159.1130102,thumb
30.32820469,45.30507698,none
29.40408135,40.35281898,none
29.50932056,40.30260537,none
29.3035834,40.15158776,none
29.15218688,40.30260537,none
32.80929746,113.5753054,none
36.88495628,120.4090943,thumb
30.60392132,44.10725564,none
29.50423698,40.55305167,none
29.60912022,40.10112218,none
29.81610303,40.40297019,none
29.41088234,40.70257977,none
31.71040839,68.78953409,none
36.43830402,153.6631055,thumb
31.19214645,58.07624299,none
29.25320495,40.75230055,none
29.40408135,40.30260537,none
28.90847627,40.45305922,thumb
29.15733184,40.30260537,none
29.41938137,40.45305922,none
29.31040771,40.45305922,none
38.81236916,174.6417762,thumb
34.14967057,93.94812398,none
29.85381048,41.62090821,none
29.45929395,40.40297019,none
29.00517195,40.20199,none
29.25491412,40.60295556,thumb
28.90674662,40.45305922,none
29.01034298,41.67133307,none
38.68979194,163.9743882,thumb
32.55610542,65.18933962,none
29.15733184,40.90232267,none
29.30870178,40.70257977,none
29.00517195,40.40297019,none
29.16761903,40.35281898,none
29.45929395,40.45305922,none
29.30870178,41.10474425,none
36.94319964,147.9374868,thumb
32.04918096,90.85400376,none
29.95913884,41.60648988,none
28.85220962,40.70257977,none
29.10841803,40.25232913,none
28.90674662,40.15158776,none
29.10670026,40.5030863,none
29.47626164,40.55675036,none
37.85564687,161.7148725,thumb
33.02196239,71.46432677,none
30.01666204,40.9121009,none
29.31381927,40.25232913,none
28.92230973,40.40297019,thumb
28.50438563,40.25232913,none
29.16761903,40.30260537,none
33.80088756,126.6374747,thumb
36.89173349,114.8388001,none
29.55418752,44.51011121,none
29.00517195,40.45305922,none
29.05598045,40.30260537,none
29.10670026,40,none
29.15733184,40.35281898,none
29.50423698,40.40297019,none
37.17257053,135.9073214,thumb
32.15664784,68.4002924,none
29.36239091,42.98429946,none
29.05425958,40.15158776,none
29.01034298,40.15158776,none
28.70888364,40.30260537,none
28.85740806,40.45305922,none
29.13760457,43.90956616,none
40.26599061,136.0551359,thumb
32.25523213,63.96287986,none
29.91153624,40.90598978,none
28.70888364,40.40297019,none
28.85740806,40.40297019,none
29.15733184,40.20199,none
28.60594344,40.15158776,none
38.27401207,54.75399529,none
46.92973471,151.3373715,thumb
32.47460546,63.88387903,none
29.00517195,40.70626487,none
